File Name:,DynamicInfusion-1-Infusion-220506.csv
Time,VO2,VCO2,RQ,MR,Activity,InflowO2,InflowCO2,SampleRH,OutflowO2,OutflowCO2,InflowRate0,ChamberTemp,ChamberDifferential,ChamberRH,LabTemp,LabRH,DepletionO2,MFCFlow_1,MFCFlow_2,MFCFlow_3,MFCFlow_4,MFCFlow_5,MFCFlow_6,MFCFlow_7,Alarms,Notes
Time,VO2 (ml/min),VCO2 (ml/min),RQ,MR (kCal/min),Activity,Inflow O2 (vol %),Inflow CO2 (vol %),Sample Humidity (% RH),Outflow O2 (vol %),Outflow CO2 (vol %),Inflow Rate (SLPM),Chamber Temperature (C),Chamber Pressure (inH20),Chamber Humidity (% RH),,,Depletion Alarm O2% (ppm),MFC 1 (l/min),MFC 2 (l/min),MFC 3 (l/min),MFC 4 (l/min),MFC 5 (l/min),Chamber 1 Hypoxia N2 (l/min),Chamber 2 Hypoxia N2 (l/min),Alarms,Notes
05/06/2022 14:40:51,0.193060,-0.218769,-1.286472,0.000519,,20.836420,0.028662,0.090000,20.836313,0.027564,20.008833,21.500000,0.021220,13.060333,,,22.221434,0.000016,-0.000027,-0.000010,-0.000013,0.000000,0.000000,0.000000,"","Blender: O2-None; CO2-None; N2-None"
05/06/2022 14:41:51,0.054787,-0.220049,-4.047031,-0.000027,,20.836207,0.028641,0.096833,20.836352,0.027541,19.991667,21.500000,0.020302,13.060000,,,22.221682,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"","Null"
05/06/2022 14:42:51,0.051475,-0.219720,-4.609454,-0.000040,,20.836604,0.028606,0.100000,20.836507,0.027506,20.001833,21.500000,0.018600,13.056833,,,22.221426,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"",""
05/06/2022 14:43:51,0.053550,-0.219728,-4.532541,-0.000032,,20.836392,0.028568,0.099000,20.836400,0.027473,20.011000,21.500000,0.018157,13.062500,,,22.221443,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"",""
05/06/2022 14:44:51,0.076246,-0.219696,-2.884540,0.000058,,20.836109,0.028498,0.098500,20.836020,0.027402,19.995500,21.500000,0.018692,13.077000,,,22.222461,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"",""
05/06/2022 14:45:51,0.043615,-0.219326,-5.322737,-0.000070,,20.835870,0.028412,0.096833,20.836182,0.027318,20.002833,21.500333,0.019413,13.067167,,,22.223034,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"",""
05/06/2022 14:46:51,0.031591,-0.219233,-7.122148,-0.000118,,20.836266,0.028424,0.096333,20.836292,0.027326,20.000167,21.500167,0.018450,13.063000,,,22.222938,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"",""
05/06/2022 14:47:51,1.322954,-1.112556,-6.497570,0.003985,,20.836544,0.028436,0.098167,20.836137,0.027339,20.001833,21.500000,0.018693,13.079667,,,22.223561,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"",""
05/06/2022 14:48:51,13.990058,-10.103414,-0.722666,0.043981,,20.836337,0.028418,0.098500,20.836188,0.027322,20.000000,21.500000,0.019030,13.082167,,,22.224681,-0.000001,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,"",""
05/06/2022 14:49:51,9.349916,-9.085729,-0.982553,0.026817,,20.836141,0.028414,0.096500,20.836388,0.027314,19.996000,21.500000,0.019028,13.089167,,,22.223814,-0.000001,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,"",""
05/06/2022 14:50:51,8.839446,-8.098072,-0.926344,0.025896,,20.836058,0.028415,0.095500,20.836005,0.027320,19.999500,21.500000,0.018842,13.093667,,,22.223321,0.000001,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,"",""
05/06/2022 14:51:51,10.664050,-7.131521,-0.672038,0.034154,,20.836400,0.028418,0.100000,20.835960,0.027327,19.997667,21.500000,0.019458,13.094833,,,22.223655,-0.000001,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,"",""
05/06/2022 14:52:51,13.415588,-6.169518,-0.460378,0.046060,,20.835978,0.028439,0.098833,20.835910,0.027353,19.995500,21.500000,0.019570,13.100000,,,22.222400,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"",""
05/06/2022 14:53:51,12.194862,-5.281828,-0.433077,0.042229,,20.836119,0.028442,0.098833,20.836097,0.027348,19.997667,21.500000,0.019898,13.106833,,,22.223720,0.000001,0.000000,-0.000002,0.000000,0.000000,0.000000,0.000000,"",""
05/06/2022 14:54:51,10.570130,-4.651764,-0.440419,0.036521,,20.835939,0.028431,0.100000,20.836147,0.027338,20.001000,21.500000,0.019138,13.120667,,,22.223267,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"",""
